Дата_рождения Date; Дата_рождения Date; Кол-во_проектов Integer; Кол-во_проектов Integer; Дата_рождения Date; Рейтинг Float; Комментарий String; Дата_рождения Date; Дата_рождения Date; Комментарий String; 
11.08.2013; 15.04.1986; 94; 67; 15.05.1991; 5,5; Повседневная практика показывает, что курс на соци; 20.11.1971; 02.02.2006; Не следует, однако, забывать о том, что постоянный; 
29.12.1992; 11.08.2013; 53; 49; 24.03.1982; 6,5; Повседневная практика показывает, что консультация; 03.12.1982; 15.05.1991; Значимость этих проблем настолько очевидна, что ра; 
19.09.1974; 25.03.1985; 49; 94; 29.10.1987; 9,9; Соображения высшего порядка, а также реализация на; 11.05.1990; 24.03.1982; Значимость этих проблем настолько очевидна, что сл; 
27.07.2018; 29.10.1987; 51; 90; 10.01.2006; 5,99; Дорогие друзья, консультация с профессионалами из ; 12.09.2001; 03.12.1982; Повседневная практика показывает, что курс на соци; 
15.02.2002; 24.03.1982; 35; 10; 02.10.2019; 2,42; Соображения высшего порядка, а также начало повсед; 27.05.1999; 31.10.1997; Разнообразный и богатый опыт реализация намеченног; 
15.02.2002; 25.03.1985; 39; 3; 22.07.2000; 6,49; Соображения высшего порядка, а также реализация на; 31.10.1997; 27.09.1980; Разнообразный и богатый опыт начало повседневной р; 
22.07.2000; 21.01.2018; 7; 69; 05.09.1999; 6,49; Таким образом, сложившаяся структура организации с; 01.11.2019; 10.01.2006; Не следует, однако, забывать о том, что новая моде; 
13.08.2011; 10.01.2006; 90; 59; 19.09.1974; 4,98; Равным образом дальнейшее развитие различных форм ; 15.02.2002; 22.07.2000; Повседневная практика показывает, что курс на соци; 
15.05.1991; 22.07.2000; 90; 52; 25.03.1985; 5,5; Разнообразный и богатый опыт постоянное информацио; 15.02.2002; 09.07.2009; Не следует, однако, забывать о том, что постоянный; 
10.01.2006; 13.08.2011; 3; 10; 30.09.2002; 3,89; Соображения высшего порядка, а также реализация на; 05.09.1999; 05.09.1999; Разнообразный и богатый опыт реализация намеченног; 
01.11.2019; 15.05.1991; 49; 94; 10.01.2006; 6,49; Разнообразный и богатый опыт реализация намеченног; 23.09.1987; 11.08.2013; Значимость этих проблем настолько очевидна, что ко; 
27.09.1980; 15.02.2002; 22; 99; 13.08.2011; 4,5; Значимость этих проблем настолько очевидна, что ко; 23.09.1987; 04.12.2022; Значимость этих проблем настолько очевидна, что сл; 
24.03.1982; 05.09.1999; 90; 75; 20.11.2016; 5,51; Соображения высшего порядка, а также начало повсед; 29.10.1987; 23.09.1987; Значимость этих проблем настолько очевидна, что со; 
20.11.1971; 15.05.1991; 95; 95; 25.03.1985; 8,88; Значимость этих проблем настолько очевидна, что ра; 13.08.2011; 09.10.1984; Дорогие друзья, консультация с профессионалами из ; 
